FD ,UD,RÉGION,IDCC déclaré,SIRET,Raison sociale,CP,Ville,durée mandat,Nb Colleges,Inscrits par CSE,% Inscrits ICTAM,Votants par CSE,Taux Participation,SVE CSE,Taille_entreprise,Taille_entreprise_2,Presence CGT,Presence CFDT,Presence FO,Presence CFTC,Presence CGC,Presence UNSA,Presence SUD,Presence AUTRES,CGT par CSE,% CGT,CFDT par CSE,FO par CSE,CFTC par CSE,CGC par CSE,UNSA par CSE,SUD par CSE,AUTRES par CSE,Date_prochain scrutin,Année du prochain mandat,Date Visite syndicat,Date Formation,Quadrimestre prochain scrutin,Siren,Effectif Siren,Tranche effectif Siren,"Groupe SBF 120
O/N",Nom du groupe,UL CONCERNÉE,Intitulé de la convention Collective
METAUX,16,NAQ,3248,48260577100054,SAFRAN AEROSYSTEMS,16100,COGNAC,4A,3,423,0.46099290780141844,275,0.65,265.0,100 et plus,400 à 499,N,N,O,O,O,N,N,N,0.0,0.0,0.0,179.0,23.0,63.0,0.0,0.0,0.0,2027-12-01,2027,2026-12-01,2027-01-30 20:00:00,2027-3,482 605 771,3000,3000 à 3999,CAC40,SAFRAN,UL COGNAC,CCN de la métallurgie
FSPBA,971,GUA,7501,31456077200217,CAISSE REGIONALE CREDIT AGRICOLE MUTUEL DE GUADELOUPE,97176,LES ABYMES,3A,3,422,0.919431279620853,369,0.874,346.0,100 et plus,400 à 499,N,N,N,N,O,N,O,O,0.0,0.0,0.0,0.0,0.0,49.0,0.0,179.0,118.0,2025-11-17,2025,2024-11-17,2025-01-16 20:00:00,2025-3,314 560 772,422,400 à 499,CAC40,CREDIT AGRICOLE,,CC Champ d'application des accords nationaux applicables dans les caisses de crédit agricole
SOCIETES D'ETUDES,93,IDF,1486,43391024700025,BNP PARIBAS PARTNERS FOR INNOVATION,93100,MONTREUIL,4A,2,420,0.8785714285714286,258,0.614,252.0,100 et plus,400 à 499,N,O,O,O,N,N,N,N,0.0,0.0,106.0,67.0,79.0,0.0,0.0,0.0,0.0,2027-03-09,2027,2026-03-09,2026-05-08 20:00:00,2027-1,433 910 247,420,400 à 499,CAC40,BNP PARIBAS,UL MONTREUIL,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
METAUX,95,IDF,3248,61203949500611,THALES AVS FRANCE SAS,95520,OSNY,3A,2,419,1.0,265,0.632,262.0,100 et plus,400 à 499,N,O,N,O,O,N,N,N,0.0,0.0,197.0,0.0,17.0,48.0,0.0,0.0,0.0,2026-06-14,2026,2025-06-14,2025-08-13 20:00:00,2026-2,612 039 495,5638,5000 à 9999,CAC40,THALES,UL CERGY,CCN de la métallurgie
METAUX,78,IDF,3248,66200140300077,GAZ TRANSPORTS ET TECHNIGAZ,78470,ST REMY LES CHEVREUSE,4A,2,417,0.7529976019184652,221,0.53,219.0,100 et plus,400 à 499,N,O,N,N,N,O,N,N,0.0,0.0,110.0,0.0,0.0,0.0,109.0,0.0,0.0,2026-04-12,2026,2025-04-12,2025-06-11 20:00:00,2026-1,662 001 403,417,400 à 499,CAC40,ENGIE,UL SQY,CCN de la métallurgie
FNSCBA,33,NAQ,2614,32933888302068,COLAS FRANCE TO SIEGE,33694,MERIGNAC,4A,2,416,1.0,321,0.772,305.0,100 et plus,400 à 499,N,N,O,O,N,N,N,N,0.0,0.0,0.0,152.5,152.5,0.0,0.0,0.0,0.0,2026-10-10,2026,2025-10-10,2025-12-09 20:00:00,2026-3,329 338 883,17177,15000 à 19999,CAC40,BOUYGUES,UL MERIGNAC,CC TRAVAUX PUBLICS ETAM
COMMERCE & SERVICES,75,IDF,573,48261993900044,BENEFIT COSMETICS SAS,75009,PARIS,4A,3,415,0.3180722891566265,142,0.342,124.0,100 et plus,400 à 499,N,N,N,O,N,N,N,N,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,2027-06-28,2027,2026-06-28,2026-08-27 20:00:00,2027-2,482 619 939,415,400 à 499,CAC40,LVMH,UL PARIS 9,CC COMMERCES DE GROS
FNIC,88,GES,45,85520050700108,MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,88190,GOLBEY,4A,3,414,0.21497584541062803,312,0.754,287.0,100 et plus,400 à 499,N,O,N,N,O,N,O,N,0.0,0.0,105.0,0.0,0.0,56.0,0.0,126.0,0.0,2027-03-09,2027,2026-03-09,2026-05-08 20:00:00,2027-1,855 200 507,15638,15000 à 19999,CAC40,MICHELIN,UL EPINAL,CCN du caoutchouc
METAUX,75,IDF,3248,30260795700255,BBGR,75003,PARIS,4A,3,412,0.6456310679611651,273,0.663,266.0,100 et plus,400 à 499,N,O,O,N,O,N,N,N,0.0,0.0,63.0,60.0,0.0,143.0,0.0,0.0,0.0,2026-11-07,2026,2025-11-07,2026-01-06 20:00:00,2026-3,302 607 957,641,500 à 999,CAC40,ESSILORLUXOTTICA,UL PARIS 3,CCN de la métallurgie
FNIC,78,IDF,44,30377298200029,SARP INDUSTRIES,78520,LIMAY,4A,3,410,0.6658536585365854,166,0.405,152.0,100 et plus,400 à 499,O,N,N,O,O,N,N,N,75.0,0.4934210526315789,0.0,0.0,17.0,60.0,0.0,0.0,0.0,2027-01-19,2027,2026-01-19,2026-03-20 20:00:00,2027-1,303 772 982,410,400 à 499,CAC40,VEOLIA ENVIRONNEMENT,UL MANTES,CCN des industries chimiques et connexes
METAUX,92,IDF,3248,82960536900026,RENAULT SOFTWARE LABS,92100,BOULOGNE BILLANCOURT,4A,1,410,1.0,336,0.82,329.0,100 et plus,400 à 499,N,O,N,N,O,N,N,N,0.0,0.0,168.0,0.0,0.0,161.0,0.0,0.0,0.0,2026-03-16,2026,2025-03-16,2025-05-15 20:00:00,2026-1,829 605 369,2157,2000 à 2999,CAC40,RENAULT,UL BOULOGNE,CCN de la métallurgie
FNIC,89,BFC,45,42592021200015,PNEU LAURENT SNC,89204,AVALLON,4A,3,409,0.2762836185819071,299,0.731,269.0,100 et plus,400 à 499,N,O,N,N,O,N,N,N,0.0,0.0,245.0,0.0,0.0,24.0,0.0,0.0,0.0,2027-03-08,2027,2026-03-08,2026-05-07 20:00:00,2027-1,425 920 212,409,400 à 499,CAC40,MICHELIN,UL AVALLON,CCN du caoutchouc
THCB,63,AURA,2528,41179585900049,LES MANUFACTURES D AUVERGNE,63530,SAYAT,4A,2,408,0.0196078431372549,351,0.86,327.0,100 et plus,400 à 499,O,N,O,N,N,O,N,N,120.0,0.3669724770642202,0.0,96.0,0.0,0.0,111.0,0.0,0.0,2027-04-25,2027,2026-04-25,2026-06-24 20:00:00,2027-1,411 795 859,408,400 à 499,CAC40,HERMES,UL GERZAT,"CC MAROQUINERIE, ARTICLES VOYAGE, CUIR, SELLERIE"
METAUX,90,BFC,3248,54206547900306,PSA AUTOMOBILES SA,90160,BESSONCOURT,4A,2,408,1.0,363,0.89,348.0,100 et plus,400 à 499,N,O,N,O,O,N,N,N,0.0,0.0,53.0,0.0,60.0,235.0,0.0,0.0,0.0,2027-04-06,2027,2026-04-06,2026-06-05 20:00:00,2027-1,542 065 479,37477,30 000 et plus,CAC40,PSA GROUPE,UL 90,CCN de la métallurgie
METAUX,38,AURA,3248,41119504300012,TRIXELL,38430,MOIRANS,3A,3,406,0.6477832512315271,310,0.764,297.0,100 et plus,400 à 499,O,O,N,N,O,N,N,N,143.0,0.48148148148148145,65.0,0.0,0.0,89.0,0.0,0.0,0.0,2025-12-01,2025,2024-12-01,2025-01-30 20:00:00,2025-3,411 195 043,406,400 à 499,CAC40,THALES,UL VOIRON,CCN de la métallurgie
FNIC,81,OCC,44,55201648700381,SEPPIC SA - SEPPIC CASTRES,81100,CASTRES,4A,3,406,0.6280788177339901,332,0.818,315.0,100 et plus,400 à 499,O,O,O,N,N,N,N,N,63.0,0.2,189.0,63.0,0.0,0.0,0.0,0.0,0.0,2027-10-19,2027,2026-10-19,2026-12-18 20:00:00,2027-3,552 016 487,625,500 à 999,CAC40,AIR LIQUIDE,UL CASTRES,CCN des industries chimiques et connexes
FILPAC,75,IDF,86,73205706200331,PRODIGIOUS FRANCE,75020,PARIS,4A,2,405,0.6296296296296297,242,0.598,221.0,100 et plus,400 à 499,O,O,N,N,N,N,N,N,9.0,0.04072398190045249,212.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-11,2026,2025-03-11,2025-05-10 20:00:00,2026-1,732 057 062,405,400 à 499,CAC40,PUBLICIS GROUPE,UL PARIS 20,CCN des entreprises de publicité et assimilées
FNIC,92,IDF,44,31411950401242,AIR LIQUIDE FRANCE INDUSTRIE,92220,BAGNEUX,4A,2,402,0.8009950248756219,303,0.754,294.0,100 et plus,400 à 499,O,O,N,O,O,N,N,N,9.0,0.030612244897959183,25.0,0.0,65.0,195.0,0.0,0.0,0.0,2027-03-29,2027,2026-03-29,2026-05-28 20:00:00,2027-1,314 119 504,2373,2000 à 2999,CAC40,AIR LIQUIDE,UL BAGNEUX,CCN des industries chimiques et connexes
VERRE & CERAMIQUE,44,PDL,1499,32763035600191,VERRE SOLUTIONS,44220,COUERON,4A,3,402,0.41044776119402987,163,0.405,135.0,100 et plus,400 à 499,O,O,O,N,N,N,N,N,63.0,0.4666666666666667,63.0,9.0,0.0,0.0,0.0,0.0,0.0,2027-11-30,2027,2026-11-30,2027-01-29 20:00:00,2027-3,327 630 356,402,400 à 499,CAC40,SAINT-GOBAIN,UL BASSE LOIRE,CC VERRE MIROITERIE TRANSFORMATION NEGOCE
FNIC,92,IDF,44,35076055900129,LA ROCHE POSAY / VICHY / SKINCEUTICALS / CERAVE,92300,LEVALLOIS PERRET,24M,1,402,1.0,31,0.077,26.0,100 et plus,400 à 499,N,N,N,N,O,N,N,N,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2026-11-21,2026,2025-11-21,2026-01-20 20:00:00,2026-3,350 760 559,402,400 à 499,CAC40,L'OREAL,UL LEVALLOIS,CCN des industries chimiques et connexes
COMMERCE & SERVICES,91,IDF,2216,40324506100052,CARREFOUR MANAGEMENT,91300,MASSY,4A,1,401,1.0,154,0.384,151.0,100 et plus,400 à 499,N,N,O,N,O,N,N,N,0.0,0.0,0.0,6.0,0.0,145.0,0.0,0.0,0.0,2027-06-05,2027,2026-06-05,2026-08-04 20:00:00,2027-2,403 245 061,401,400 à 499,CAC40,CARREFOUR,UL MASSY,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,83,PACA,2216,45132133500122,CARREFOUR OLLIOLES,83190,OLLIOULES,4A,2,400,0.06,369,0.923,358.0,100 et plus,400 à 499,N,O,O,N,O,O,N,N,0.0,0.0,56.0,245.0,0.0,21.0,36.0,0.0,0.0,2027-01-17,2027,2026-01-17,2026-03-18 20:00:00,2027-1,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL LA SEYNE ET OUEST VAR,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
METAUX,42,AURA,3248,48260577100138,SAFRAN AEROSYSTEMS,42230,ROCHE LA MOLIERE,4A,3,400,0.7075,304,0.76,300.0,100 et plus,400 à 499,O,O,N,O,O,N,N,N,91.0,0.30333333333333334,26.0,0.0,53.0,130.0,0.0,0.0,0.0,2027-12-01,2027,2026-12-01,2027-01-30 20:00:00,2027-3,482 605 771,3000,3000 à 3999,CAC40,SAFRAN,UL ONDAINE,CCN de la métallurgie
COMMERCE & SERVICES,34,OCC,2216,45132133500734,CARREFOUR LATTES SAS,34970,LATTES,4A,2,399,0.06766917293233082,318,0.797,297.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,69.0,0.23232323232323232,52.0,158.0,0.0,18.0,0.0,0.0,0.0,2026-11-18,2026,2025-11-18,2026-01-17 20:00:00,2026-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL MONTPELLIER,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
METAUX,33,NAQ,1090,30247504102410,PSA RETAIL LE BOUSCAT,33110,LE BOUSCAT,4A,3,398,0.49246231155778897,271,0.681,233.0,100 et plus,300 à 399,N,O,O,N,O,N,N,N,0.0,0.0,20.0,171.4,0.0,41.6,0.0,0.0,0.0,2026-06-09,2026,2025-06-09,2025-08-08 20:00:00,2026-2,302 475 041,4159,4000 à 4999,CAC40,PSA GROUPE,UL BORDEAUX NORD,CC AUTOMOBILE SERVICES
METAUX,93,IDF,3248,38919198200294,ALSTOM TRANSPORT SA - CSY,93400,ST OUEN,4A,3,396,0.702020202020202,267,0.674,254.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,153.0,0.6023622047244095,74.0,4.0,0.0,23.0,0.0,0.0,0.0,2027-06-26,2027,2026-06-26,2026-08-25 20:00:00,2027-2,389 191 982,10856,10000 à 14999,CAC40,ALSTOM,UL ST OUEN,CCN de la métallurgie
COMMERCE & SERVICES,77,IDF,2216,45132133500940,CARREFOUR,77410,CLAYE SOUILLY,4A,2,396,0.05303030303030303,296,0.747,279.0,100 et plus,300 à 399,N,N,O,N,O,N,N,N,0.0,0.0,0.0,259.0,0.0,20.0,0.0,0.0,0.0,2027-03-10,2027,2026-03-10,2026-05-09 20:00:00,2027-1,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL MITRY MORY,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
FNIC,76,NOR,45,48260577100047,SAFRAN AEROSYSTEMS,76320,CAUDEBEC LES ELBEUF,4A,3,395,0.5341772151898734,298,0.754,289.0,100 et plus,300 à 399,N,O,O,N,O,N,N,N,0.0,0.0,142.0,51.0,0.0,96.0,0.0,0.0,0.0,2027-12-01,2027,2026-12-01,2027-01-30 20:00:00,2027-3,482 605 771,3000,3000 à 3999,CAC40,SAFRAN,UL 76,CCN du caoutchouc
FNSCBA,57,GES,3212,38325260800856,ETF - CSE ACTIVITES REGIONALES NORD,57280,HAUCONCOURT,4A,3,394,0.3934010152284264,214,0.543,203.0,100 et plus,300 à 399,O,O,O,N,N,N,O,N,29.0,0.14285714285714285,15.0,53.0,0.0,0.0,0.0,106.0,0.0,2028-06-12,2028,2027-06-13,2027-08-12 20:00:00,2028-2,383 252 608,1904,1000 à 1999,CAC40,VINCI,UL HAGONDANGE,CCN des cadres des travaux publics
COMMERCE & SERVICES,77,IDF,2216,45132133500932,CARREFOUR COLLEGIEN,77090,COLLEGIEN,4A,2,394,0.0532994923857868,265,0.673,253.0,100 et plus,300 à 399,N,O,O,N,O,N,N,N,0.0,0.0,50.0,186.0,0.0,17.0,0.0,0.0,0.0,2027-09-29,2027,2026-09-29,2026-11-28 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL MLV,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,91,IDF,2216,45132133500916,CARREFOUR,91940,LES ULIS,4A,2,393,0.05343511450381679,301,0.766,289.0,100 et plus,300 à 399,O,N,O,N,O,N,N,N,68.0,0.23529411764705882,0.0,203.0,0.0,18.0,0.0,0.0,0.0,2027-03-31,2027,2026-03-31,2026-05-30 20:00:00,2027-1,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL LES ULIS,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
TRANSPORTS,13,PACA,2149,7380644000506,ONYX MEDITERRANEE,13011,MARSEILLE,4A,3,392,0.40816326530612246,302,0.77,294.0,100 et plus,300 à 399,O,O,N,N,O,O,N,N,59.0,0.20068027210884354,81.0,0.0,0.0,41.0,113.0,0.0,0.0,2028-11-29,2028,2027-11-30,2028-01-29 20:00:00,2028-3,073 806 440,392,300 à 399,CAC40,VEOLIA ENVIRONNEMENT,,CC DECHET ACTIVITES
FSPBA,2A,COR,7501,78298920600027,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA CORSE,20000,AJACCIO,4A,3,392,0.8545918367346939,369,0.941,349.0,100 et plus,300 à 399,O,N,N,N,O,N,N,N,186.0,0.5329512893982808,0.0,0.0,0.0,163.0,0.0,0.0,0.0,2026-10-14,2026,2025-10-14,2025-12-13 20:00:00,2026-3,782 989 206,392,300 à 399,CAC40,CREDIT AGRICOLE,UL AJACCIO,CC Champ d'application des accords nationaux applicables dans les caisses de crédit agricole
COMMERCE & SERVICES,91,IDF,2216,38517158200088,CARREFOUR MARCHANDISES INTERNATIONALES,91300,MASSY,4A,3,391,0.7289002557544757,310,0.793,296.0,100 et plus,300 à 399,N,N,O,N,O,N,N,N,0.0,0.0,0.0,156.0,0.0,140.0,0.0,0.0,0.0,2028-02-12,2028,2027-02-12,2027-04-13 20:00:00,2028-1,385 171 582,391,300 à 399,CAC40,CARREFOUR,UL MASSY,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,59,NPC,2216,45132133500221,HYPERMARCHE CARREFOUR,59290,WASQUEHAL,4A,2,391,0.058823529411764705,317,0.811,310.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,13.0,0.041935483870967745,95.0,180.0,0.0,22.0,0.0,0.0,0.0,2028-02-16,2028,2027-02-16,2027-04-17 20:00:00,2028-1,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL ROUBAIX,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,21,BFC,2216,45132133500692,CARREFOUR,21800,QUETIGNY,4A,2,390,0.05641025641025641,312,0.8,282.0,100 et plus,300 à 399,O,N,O,N,O,N,N,N,49.0,0.17375886524822695,0.0,211.0,0.0,22.0,0.0,0.0,0.0,2027-06-09,2027,2026-06-09,2026-08-08 20:00:00,2027-2,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL DIJON,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
FNIC,72,PDL,45,31439769600225,HUTCHINSON,72130,SOUGE LE GANELON,4A,2,389,0.34190231362467866,329,0.846,312.0,100 et plus,300 à 399,O,O,O,N,N,O,N,N,97.0,0.3108974358974359,93.0,83.0,0.0,0.0,39.0,0.0,0.0,2026-11-15,2026,2025-11-15,2026-01-14 20:00:00,2026-3,314 397 696,2466,2000 à 2999,CAC40,TOTAL,UL LE MANS,CCN du caoutchouc
VERRE & CERAMIQUE,67,GES,1499,38094786100015,SAINT-GOBAIN GLASS SOLUTIONS NORD EST,67120,DUTTLENHEIM,4A,5,388,0.38402061855670105,230,0.593,215.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,79.0,0.3674418604651163,75.0,47.0,0.0,14.0,0.0,0.0,0.0,2027-05-09,2027,2026-05-09,2026-07-08 20:00:00,2027-2,380 947 861,659,500 à 999,CAC40,SAINT-GOBAIN,UL MOLSHEIM,CC VERRE MIROITERIE TRANSFORMATION NEGOCE
VERRE & CERAMIQUE,45,CVL,669,32268847400046,SAINT-GOBAIN SULLY,45600,SULLY SUR LOIRE,4A,2,386,0.20466321243523317,290,0.751,286.0,100 et plus,300 à 399,O,O,O,N,O,O,N,N,89.0,0.3111888111888112,61.0,48.0,0.0,18.0,70.0,0.0,0.0,2027-11-09,2027,2026-11-09,2027-01-08 20:00:00,2027-3,322 688 474,386,300 à 399,CAC40,SAINT-GOBAIN,UL GIEN,CC VERRE FABRICATION MECANIQUE INDUSTRIES
METAUX,91,IDF,3248,38236095600074,SAFRAN DATA SYSTEMS LES ULIS,91978,COURTABOEUF,4A,3,384,0.9609375,288,0.75,261.0,100 et plus,300 à 399,N,O,N,N,O,N,N,N,0.0,0.0,89.0,0.0,0.0,172.0,0.0,0.0,0.0,2026-11-24,2026,2025-11-24,2026-01-23 20:00:00,2026-3,382 360 956,628,500 à 999,CAC40,SAFRAN,,CCN de la métallurgie
SOCIETES D'ETUDES,12,OCC,1486,39777530500014,DOXIO,12340,BOZOULS,4A,2,384,0.4375,265,0.69,251.0,100 et plus,300 à 399,O,N,O,N,O,N,N,N,44.0,0.1752988047808765,0.0,121.6,0.0,85.4,0.0,0.0,0.0,2027-06-09,2027,2026-06-09,2026-08-08 20:00:00,2027-2,397 775 305,384,300 à 399,CAC40,CREDIT AGRICOLE,UL RODEZ ONET,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
FNSCBA,44,PDL,2272,32081659800272,SARP OUEST PAYS DE LOIRE,44205,NANTES,4A,4,383,0.21671018276762402,159,0.415,135.0,100 et plus,300 à 399,O,N,O,N,N,N,N,N,42.0,0.3111111111111111,0.0,93.0,0.0,0.0,0.0,0.0,0.0,2028-12-03,2028,2027-12-04,2028-02-02 20:00:00,2028-3,320 816 598,383,300 à 399,CAC40,VEOLIA ENVIRONNEMENT,UL NANTES,CC ASSAINISSEMENT ET MAINTENANCE INDUSTRIELLE
FNSCBA,78,IDF,2420,43390083400345,BOUYGUES BATIMENT IDF INDUSTRIE,78061,ST QUENTIN EN YVELINES,3A,3,382,0.7225130890052356,373,0.976,357.0,100 et plus,300 à 399,N,N,O,O,N,N,N,N,0.0,0.0,0.0,248.0,109.0,0.0,0.0,0.0,0.0,2027-03-13,2027,2026-03-13,2026-05-12 20:00:00,2027-1,433 900 834,3840,3000 à 3999,CAC40,BOUYGUES,,CC BATIMENT CADRES
COMMERCE & SERVICES,76,NOR,2216,45132133500452,CARREFOUR,76130,MONT ST AIGNAN,4A,2,381,0.04461942257217848,290,0.761,286.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,21.0,0.07342657342657342,89.0,162.0,0.0,14.0,0.0,0.0,0.0,2027-09-22,2027,2026-09-22,2026-11-21 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL 76,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,34,OCC,2216,45132133501138,CARREFOUR SAS HYPERMARCHES,34540,BALARUC LE VIEUX,4A,2,379,0.06068601583113457,316,0.834,306.0,100 et plus,300 à 399,O,O,O,N,O,O,N,O,100.0,0.32679738562091504,51.0,60.0,0.0,20.0,18.0,0.0,57.0,2027-09-29,2027,2026-09-29,2026-11-28 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL SETE,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,38,AURA,2216,45132133501120,CARREFOUR,38246,MEYLAN,4A,2,378,0.05291005291005291,274,0.725,265.0,100 et plus,300 à 399,O,N,O,O,O,N,N,O,23.0,0.08679245283018867,0.0,110.0,55.0,18.0,0.0,0.0,59.0,2027-10-06,2027,2026-10-06,2026-12-05 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL GRENOBLE,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,94,IDF,2216,45132133501112,CARREFOUR ORMESSON,94436,CHENNEVIERES SUR MARNE,4A,3,377,0.06896551724137931,277,0.735,269.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,59.0,0.21933085501858737,33.0,155.0,0.0,22.0,0.0,0.0,0.0,2026-11-18,2026,2025-11-18,2026-01-17 20:00:00,2026-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL CHAMPIGNY SUR MARNE,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
FILPAC,92,IDF,86,34920844700087,HAVAS PARIS,92800,PUTEAUX,4A,2,376,0.7819148936170213,127,0.338,117.0,100 et plus,300 à 399,N,O,N,N,N,N,N,N,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,2027-09-22,2027,2026-09-22,2026-11-21 20:00:00,2027-3,349 208 447,376,300 à 399,CAC40,VIVENDI,UL PUTEAUX,CCN des entreprises de publicité et assimilées
FNAF,91,IDF,112,97150244800063,DANONE GLOBAL RESEARCH ET INNOVATION CENTER,91190,GIF SUR YVETTE,4A,2,376,1.0,254,0.676,251.0,100 et plus,300 à 399,O,O,O,O,N,O,N,N,17.0,0.06772908366533864,126.72,19.0,71.28,0.0,17.0,0.0,0.0,2027-11-09,2027,2026-11-09,2027-01-08 20:00:00,2027-3,971 502 448,376,300 à 399,CAC40,DANONE,UL LES ULIS,CCN de l'industrie laitière
COMMERCE & SERVICES,60,PIC,2216,45132133500080,CARREFOUR,60280,VENETTE,4A,2,375,0.048,259,0.691,249.0,100 et plus,300 à 399,O,N,O,N,O,N,N,N,115.0,0.46184738955823296,0.0,117.0,0.0,17.0,0.0,0.0,0.0,2027-09-22,2027,2026-09-22,2026-11-21 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL COMPIEGNE,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,83,PACA,2216,45132133500312,CARREFOUR TOULON GRAND VAR,83160,LAVALETTE DU VAR,4A,2,375,0.058666666666666666,326,0.869,304.0,100 et plus,300 à 399,O,N,O,N,O,N,N,N,91.0,0.2993421052631579,0.0,192.0,0.0,21.0,0.0,0.0,0.0,2027-09-15,2027,2026-09-15,2026-11-14 20:00:00,2027-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
COMMERCE & SERVICES,31,OCC,2216,45132133502136,CARREFOUR,31300,TOULOUSE,4A,2,375,0.064,291,0.776,277.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,195.0,0.703971119133574,11.0,52.0,0.0,19.0,0.0,0.0,0.0,2026-10-07,2026,2025-10-07,2025-12-06 20:00:00,2026-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL 31,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
FNIC,60,PIC,44,42905734200033,BEAUTE RECHERCHE ET INDUSTRIES,60310,LASSIGNY,4A,3,374,0.48663101604278075,317,0.848,311.0,100 et plus,300 à 399,O,O,N,N,O,O,N,N,58.0,0.1864951768488746,85.0,0.0,0.0,56.0,112.0,0.0,0.0,2026-11-17,2026,2025-11-17,2026-01-16 20:00:00,2026-3,429 057 342,374,300 à 399,CAC40,L'OREAL,UL COMPIEGNE,CCN des industries chimiques et connexes
COMMERCE & SERVICES,95,IDF,2216,45132133500544,CARREFOUR HYPERMARCHE,95350,ST BRICE SOUS FORET,4A,2,372,0.05913978494623656,223,0.599,215.0,100 et plus,300 à 399,N,O,O,N,O,N,N,N,0.0,0.0,148.0,46.0,0.0,21.0,0.0,0.0,0.0,2026-10-07,2026,2025-10-07,2025-12-06 20:00:00,2026-3,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL VAL D OISE EST,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
METAUX,59,NPC,1090,30247504101552,PSA RETAIL VILLENEUVE D ASCQ,59650,VILLENEUVE D'ASCQ,4A,3,371,0.5094339622641509,298,0.803,290.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,105.0,0.3620689655172414,41.0,49.0,0.0,95.0,0.0,0.0,0.0,2026-10-11,2026,2025-10-11,2025-12-10 20:00:00,2026-3,302 475 041,4159,4000 à 4999,CAC40,PSA GROUPE,UL LILLE,CC AUTOMOBILE SERVICES
COMMERCE & SERVICES,34,OCC,2216,45132133500726,CARREFOUR,34980,ST CLEMENT DE RIVIERE,4A,2,370,0.05675675675675676,276,0.746,255.0,100 et plus,300 à 399,O,O,O,N,O,N,N,N,140.0,0.5490196078431373,39.0,57.0,0.0,19.0,0.0,0.0,0.0,2028-06-14,2028,2027-06-15,2027-08-14 20:00:00,2028-2,451 321 335,39750,30 000 et plus,CAC40,CARREFOUR,UL MONTPELLIER,CC COMMERCE DETAIL ET GROS A PREDOMINANCE ALIMENTAIRE
